n_steps,gamma,gae_lambda,verbose,seed,annualized_return,ent_coef,lookback_period,vf_coef,sharpe_ratio,max_drawdown,train_env,learning_rate
64.0,0.99,0.95,1.0,42.0,-0.82%,,,,,,,
64.0,0.99,0.95,1.0,42.0,-0.54%,,,,,,,
64.0,0.99,0.95,1.0,42.0,-0.54%,,,,,,,
64.0,0.99,0.95,1.0,42.0,-0.54%,,,,,,,
256.0,0.99,0.95,1.0,42.0,-0.17%,,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.30%,,,,,,,
1024.0,0.99,0.95,1.0,42.0,-45.63%,,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.93%,,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.93%,,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.94%,,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.93%,1e-08,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.93%,0.01,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.93%,0.05,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.89%,0.01,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.89%,0.01,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.90%,0.01,,,,,,
1024.0,0.9,0.95,1.0,42.0,0.91%,0.01,,,,,,
1024.0,0.5,0.95,1.0,42.0,0.91%,0.01,,,,,,
1024.0,0.9,0.9,1.0,42.0,0.92%,0.01,,,,,,
1024.0,0.9,0.5,1.0,42.0,0.91%,0.01,,,,,,
1024.0,0.95,0.95,1.0,42.0,0.91%,0.01,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.90%,0.01,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.94%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.94%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.94%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,-0.93%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.00%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.00%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.00%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.32%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.32%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,0.82%,0.0,,,,,,
1024.0,0.99,0.95,1.0,42.0,1.02%,0.0,,,,,,
2048.0,0.99,0.95,1.0,42.0,1.02%,0.0,,,,,,
512.0,0.99,0.95,1.0,42.0,1.02%,0.0,,,,,,
512.0,0.99,0.9,1.0,42.0,1.01%,0.01,,,,,,
512.0,0.99,0.98,1.0,42.0,-1.25%,0.01,,,,,,
512.0,0.99,0.98,,,-0.48%,0.01,63.0,0.5,-0.49,-20.10%,,
512.0,0.99,0.98,,,-1.08%,0.01,84.0,0.5,-0.57,-19.71%,,
512.0,0.99,0.98,,,-0.61%,0.01,126.0,0.5,-0.5,-19.06%,,
512.0,0.99,0.98,,,-1.27%,0.01,252.0,0.5,-0.57,-17.90%,,
512.0,0.99,0.98,,,-1.69%,0.01,63.0,0.5,-0.63,-18.65%,,
512.0,0.99,0.98,,,-1.39%,0.01,84.0,0.5,-0.58,-19.14%,,
512.0,0.99,0.98,,,-1.19%,0.01,126.0,0.5,-0.55,-18.13%,,
512.0,0.99,0.98,,,-1.61%,0.01,252.0,0.5,-0.61,-18.72%,,
512.0,0.99,0.98,1.0,42.0,-3.90%,0.01,,,,,<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001826086FF00>,0.0005
512.0,0.99,0.98,,,-2.87%,0.01,63.0,0.5,-0.59,-23.81%,,0.0005
512.0,0.99,0.98,,,-4.02%,0.01,84.0,0.5,-0.70,-24.40%,,0.0005
512.0,0.99,0.98,,,-3.36%,0.01,126.0,0.5,-0.63,-24.59%,,0.0005
512.0,0.99,0.98,,,-3.51%,0.01,252.0,0.5,-0.65,-23.10%,,0.0005
1024.0,0.99,0.98,1.0,42.0,-1.43%,0.001,,,,,<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001826086FF00>,0.0001
512.0,0.99,0.98,,,-2.87%,0.01,63.0,0.5,-0.59,-23.81%,,0.0005
512.0,0.99,0.98,,,-4.02%,0.01,84.0,0.5,-0.70,-24.40%,,0.0005
512.0,0.99,0.99,1.0,42.0,1.63%,1e-05,,,,,<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001826AB12140>,0.0001
512.0,0.99,0.99,1.0,42.0,1.45%,1e-05,,,,,<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001826AB11480>,0.0001
512.0,0.99,0.99,1.0,42.0,1.63%,1e-05,,,,,<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001826AB12AD0>,0.0001
1024.0,0.99,0.99,1.0,42.0,-3.09%,1e-05,,,,,<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001826AB116A0>,0.0001
